Voltage,Current,Power
0.565,2.404,1.3582599999999998
0.472973,2.148008,1.0159497877839998
0.531,2.395,1.2717450000000001
0.556,1.868,1.0386080000000002
0.562,2.339,1.314518
0.512238,2.2441481481481484,1.1495379591111112
0.536,2.31,1.2381600000000001
0.55,2.24,1.2320000000000002
0.525,2.129,1.117725
0.551,2.33,1.2838300000000002
0.500287,2.147164705882352,1.0741985892117645
0.512238,2.2227923076923077,1.1385986861076922
0.572,2.332,1.3339039999999998
0.566,2.268,1.2836879999999997
0.507116,2.1327599999999998,1.0815567201599998
0.48663,2.1739583333333337,1.0579133437500001
0.57,1.793,1.0220099999999999
0.563,1.988,1.119244
0.557,0.612,0.340884
0.533,2.132,1.1363560000000001
0.567,2.384,1.3517279999999998
0.554,0.601,0.332954
0.513,2.295,1.177335
0.508,1.864,0.9469120000000001
0.541,2.294,1.241054
0.568,1.94,1.1019199999999998
0.569,2.212,1.258628
0.57,2.343,1.33551
0.561,2.215,1.242615
0.501995,2.337191666666667,1.1732585307083334
0.48663,2.2294500000000004,1.0849172535000002
0.575,2.268,1.3040999999999998
0.565,2.267,1.2808549999999999
0.548,2.084,1.1420320000000002
0.575,0.605,0.347875
0.501995,2.2331999999999996,1.1210552339999997
0.493459,2.2062400000000006,1.0886889841600003
0.5,2.156,1.078
0.519,2.053,1.065507
0.586,2.049,1.2007139999999998
0.538,2.362,1.2707560000000002
0.561,0.638,0.357918
0.575,2.216,1.2742
0.564,2.226,1.255464
0.582,1.949,1.134318
0.571,2.185,1.2476349999999998
0.483216,2.251406060606061,1.0879154309818182
0.527,2.159,1.137793
0.54,2.211,1.19394
0.569,2.095,1.192055
0.567,0.592,0.33566399999999996
0.481509,2.2684782608695646,1.0922926989130433
0.562,2.318,1.3027160000000002
0.574,2.186,1.2547639999999998
0.581,1.964,1.141084
0.542,2.336,1.266112
0.538,2.327,1.251926
0.523,2.37,1.2395100000000001
0.607,1.825,1.107775
0.515652,2.181308571428571,1.1247961274742855
0.505409,2.1984482758620687,1.1111155446551724
0.555,1.898,1.05339
0.483216,2.2158272727272728,1.0707231914181818
0.507116,2.1563304347826087,1.0935096647652174
0.618,1.967,1.215606
0.517,1.939,1.002463
0.551,2.293,1.263443
0.526,2.042,1.074092
0.549,2.373,1.3027770000000003
0.544,2.383,1.2963520000000002
0.512,0.591,0.30259199999999997
0.554,2.079,1.1517660000000003
0.493459,2.1709459459459466,1.0712728155405409
0.566,2.2025,1.246615
0.604,1.951,1.178404
0.531,0.61,0.32391000000000003
0.564,1.904,1.073856
0.533,0.645,0.343785
0.575,0.637,0.36627499999999996
0.565,2.088,1.1797199999999999
0.509,2.168,1.103512
0.505409,2.2222799999999996,1.1231603125199998
0.487,2.426,1.181462
0.503702,2.2672166666666667,1.1420015694333332
0.573,1.929,1.1053169999999999
0.536,0.623,0.333928
0.531,2.293,1.217583
0.536,2.168,1.1620480000000002
0.553,2.077,1.148581
0.57,2.329,1.32753
0.495166,2.1311526315789466,1.0552743239684206
0.496873,2.2507818181818178,1.1183527143454544
0.532,2.37,1.2608400000000002
0.508823,2.1614,1.0997700322000001
0.495166,2.2401771428571426,1.10925955512
0.567,2.337,1.325079
0.55,2.33,1.2815
0.531,2.286,1.2138660000000001
0.563,2.079,1.170477
0.507,2.292,1.1620439999999999
0.491752,2.120457142857143,1.0427390409142858
0.497,2.156,1.0715320000000002
0.567,1.895,1.074465
0.54,2.267,1.22418
0.476387,2.153525925925926,1.025911755274074
0.557,2.2640000000000002,1.2610480000000002
0.512,2.355,1.20576
0.549,2.17,1.19133
0.5,2.146,1.073
0.498,2.369,1.1797620000000002
0.503702,2.2120300000000004,1.1142039350600002
0.483216,2.22996,1.07755235136
0.499,2.184,1.0898160000000001
0.534,2.061,1.100574
0.503702,2.135263157894737,1.0755363231578947
